"instructor","id","section_sis_id","my_instructor_may_share_my_reflection_responses_with_the_researchers_in_this_study","as_of_today_i_am_at_least_19_years_of_age","in_this_class_youll_be_learning_about_the_process_of_scientific_investigation_what_do_you_think_that_process_looks_like_from_the_perspective_of_a_researcher_compared_to_what_it_looks_like_from_the_perspective_of_someone_in_the_general_public_who_is_a_consumer_of_scientific_results_write_a_paragraph_at_least_3_5_sentences_about_how_you_think_science_happens","paste_the_response_code_you_received_after_participating_in_the_graphics_experiment_here","what_do_you_think_the_purpose_of_the_experiment_was","what_hypotheses_might_the_experimenter_have_been_testing","what_sources_of_error_are_involved_in_this_experiment","what_variables_were_examined_for_each_variable_identify_whether_it_was_quantitative_or_categorical","what_elements_of_experimental_design_such_as_randomization_or_the_use_of_a_control_group_do_you_think_were_present_in_the_experiment_why","what_components_of_the_experiment_are_clearer_now_than_they_were_as_a_participant_what_questions_do_you_still_have_for_the_experimenter_write_3_5_sentences_reflecting_on_the_abstract","how_did_the_information_you_gained_from_the_components_of_this_project_participation_post_study_reflection_extended_abstract_presentation_differ","what_components_were_emphasized_in_the_presentation_that_werent_emphasized_in_the_abstract_why_do_you_think_that_is","what_critiques_do_you_have_of_this_study_and_its_design_what_would_have_made_the_study_better","if_you_had_to_hear_about_this_study_using_only_the_extended_abstract_or_only_the_presentation_which_one_would_you_prefer_which_one_would_be_better_for_determining_whether_the_experiment_was_well_designed"
"1","99731a1ce7d7d5316fe9acb20bd6242d","STAT-218-701.1238","I agree","TRUE","From the perspective of the researcher, I think it would be stressful to get everything in line. They first have to come up with a question to be answered so the then the research can be done, the hypothesis can be made, the experiment can be done to collect data, after all of that the conclusion can be made. The perspective of the general public would look a lot different because they don't see everything that plays into the research and the time that it takes. To an outside person reading the results it could look very simple. ","indicant-bracketed-gyved-fabrics","To see if we could identify which graph was smaller and by how much by looking at different graphs in different ways. ","How can different views of graphs change the perspective of which one is smaller than that other?","I thought that the slide bar was a little confusing even after the example. When I was taking the experiment I read the bar as the left end 0% smaller then the further you slid it the closer it was in size to the bigger graph. Someone else who is doing the experiment could interpret the slide bar differently. 

 

Another error that could happen is if the results from online-only are not separated from the ones that have the graphs printed off. ","Which circle is bigger - categorical

How much bigger is the larger graph from the other - quantitative ","I think there was randomization because everyone is going to answer differently and there are females and males. Also from only seeing my results I don't know if everyone is getting the same graphs or different graphs. ","How they made the graphs and what they were trying to accomplish make more sense now. I like how they had some of the graphs to equal the same number of differences in size. When I was doing the experiment I thought that some of them might be the same, but didn't know for sure. I also like how they want to extend their sample size the next time that they do it because it will make the results more reliable. I should have thought more on the hypothesis because after it was stated in the abstract I was like that makes sense. ","The participation was me doing the study and being part of the research. The post-study reflection was nice so that I could reflect on what I thought of the study and made me think about it a little bit more and deeper. The extended abstract was nice so I could see how the study was initially put together and what they wanted to find out. I liked the presentation so I could see how the UNL study differed and what they were trying to accomplish. ","The thing that I noticed that was most emphasized was different views of a 3D graph. When he talking about it it was nice to hear that they can be viewed in different ways depending on how you look at them. Another thing that stood out to me was UNL ran it through two models to see if they found different results. ","I might have missed it while reading the instructions but I did not know that you could move the 3D graphs around which would have been nice to do. It would be helpful to maybe bold that in the instructions so the person doing the study remembers it. After watching the presentation I thought the UNL study was put together nicely. It would be interesting if they kept doing it how the data would change from year to year. ","I would prefer the presentation better because it was someone talking and telling me the information. The presentation was also put together in a way that was easy to understand. The extended abstract would be better for how well the experiment was designed because it tells how the original study was put together. "
"1","71514e60553fb9423552980bbd62efda","STAT-218-701.1238","I agree","TRUE","I think the process of scientific investigation has to do with a lot of observations from the perspective of the researcher. Looking into something from a research perspective takes a lot of planning and observation of the research question being asked. Comparing that to someone in the general public who is a consumer of scientific results is much different. I believe that someone in the general public would just look at the results or be told the results without really truly knowing a lot about what happened, whereas the researcher did a lot more observing and can understand the investigation a lot more. That being said I think that if a person of the general public truly wanted to understand more about the investigation they could if they were able to observe more like the researcher.","hellion-dielectric-rings-bustles","I think the purpose of this experiment was to see if people who are in a statistics class differ at all from others in this study. Also the study was able to get a larger sample size with people in STATS 218 participating in the study. ","The experimenter might have been testing the hypothesis of if students in a statistics class would be able to better distinguish between a 2D graph vs. a 3D graph or if the results would be generally the same as the general population. ","I think that there was probably a lot of human error involved in this experiment. We all perceive things differently and I think this could lead to some very different results in the study. ","The variable examined were weather the graph was 2D or 3D which is categorical.","The researchers told us at the start of the experiment that there is a lot of randomization used in the experiment. I think the reason for that is because it allows for a lot of different results and perspectives to be researched. ","The components that are clearer now than they were as a participant are how the graphs have been rendered. At first I didn't really know what was going on with the graph and how a 3D version of a graph would look and different than the 2D version. I also didn't really understand what the point of the experiment was but the Future Research Implications section helped me through the reasoning behind the experiment. Overall at first I was a little bit confused as to how this experiment even worked and why anyone would care but after participating in the experiment I would be interested in seeing the results. After participating I understand how it could be hard to see the differences in the two labeled bars on the bar graph based on if it were a 2D or a 3D graph.","The information that I gained from the components of this project differed a lot in my opinion. At the start of the experiment I was a little bit confused but all of the parts of this experiment and especially the presentation helped me to understand it more.  ","The components emphasized in the presentation were how the researchers were going to use the information from the study. This was probably not emphasized in the abstract because they wanted the results to be as natural as possible and didn't want participants knowing more about the study.","I would say that the researchers could have made the study a little bit less confusing if they would have worded some things a little bit differently. I also think that they could have use something other than the sliding bar to show by how much the bars on the graph differentiated. I could have been overthinking it but it was a little bit confusing to me. ","The think I would prefer the presentation. I thought that the presentation explained things very well and kept me interested in what was happening in the experiment. I think that the presentation would also be better for determining if the experiment was well designed. "
"1","42fb60008d82bf9c56aa94fe984dffab","STAT-218-701.1238","I agree","TRUE","I think that science usually begins with a hypothesis. Researchers will follow formatting and write out something about if ___ happens then ____ will happen. They then conduct an experimental or observational study and gather data to support or contradict their hypothesis. This part can be quite technical depending on the subject you are studying. The problem usually occurs when communicating those results to the general public, because sometimes researchers use a lot of technical jargon that the average person doesn't understand. Most people don't want to read the long research paper or they're behind a paywall, so there's also an issue of gatekeeping science to a certain community (often one of privilege and/or wealth). Reporters usually get flack for misreporting only part of a study, for example: White wine could extend your lifespan. This all comes down to a science literacy issue and the fact that some scientific language is inaccessible. ","whoopla-entamebae-psychopath-foramina","I think the purpose of the experiment was to see whether your perception of the size of the graphs changed based on the size of the bars next to the bars. ","If we put larger bars around a small bar, then the viewer will perceive it as larger then it actually is. ","Since there's online and in-person results it's not clear how that might effect the experiment. There's also some confounding variables like color and angle of the bar graphs. ","I think it was categorical whether the participant identified the correct smaller bar and then quantitative how close the slider was to the actual size of the bar. ","I think that they probably had a control group where all the bars were essentially the same and they probably had a lot of randomization in what order the graphs were presented. But randomization in sample size probably isn't there because it's all stats 218 students completing an assignment.","After reading the abstract, I was surprised to learn that the subject of the study wasn't the hypothesis I thought it was. Now it's very clear that there's a discrepency between interpreting 3D and 2D graphs/visuals. I am still curious after reading this what the results of the study are based on students feedback. I also want to know if the student results were different then what was expected based on Cleveland/ McGill's study. ","I was kind of lost on what information was being gathered by just going blindly into the study, but then by reading the abstract it became more obvious it was about comparing 3D and 2D model accuracy. I really liked the information the presentation added though, because it was easier for me to understand and then I fully understood what the content was about. ","I think the background of why 3D models and 2D models affect perception was a lot more thorough in the presentation in the bar graph. That could also be because I am a very visual learned so seeing multiple graphs was helpful for me while listening to the explanation. I think the abstract was also based on more technical results which is why. ","I think that having all the graphs have different colors might affect the study design. I'm not sure if it was recorded whether people were color blind, because the shading of the graphs might impact results there, as well. I think it would have made this study better to have accounted for information about color-blindness or to have color-blind-friendly colors on all their graphs. ","I think I would have preferred hearing the presentation because I found it a lot more engaging than the abstract. I think the presentation language was also a lot more digestible and used general public-friendly language the abstract was more technical. I think the abstract is still more helpful for determining how well-designed the experiment was though, since it answered questions I had after the presentation. "
"1","ed0d993739d0f0e3da9a00f7b62a6f94","STAT-218-701.1238","I agree","TRUE","I think that the process of scientific investigation looks like gathering multiple pieces of data from different experiments and analyzing the results of gathering that data. For a researcher I think they are the ones who are setting up these experiments based on the certain things they are curios about. From the general public that is the consumer of the results I think that they are the ones that are retaining this new information and using it in their daily lives. ","megabytes-exultance-turnable-coldnesses","I think that the importance of this experiment was to determine if visual depths is a limiting factor in peoples ability to correctly distinguish between graphs with different values. ","The hypothesis from an experiments could have been; 

 

- individuals are more likely to choose the correct answer on a 3-D graph compared to a 2-D graph. ","A source of error that could have been involved in this experiment was the partipants not being truthful when filling out the consent form or there could have been repeated graphs that an individual was given in their study. ","the variables examined were: 

* the 2-D graphs: catagorical 

* the 3-D graphs catagorical 

* wether the partipants chose the correct answer (circle or triangle was bigger) catagorical ","I think that randomization was used in this experiment; the experimenter could have randomized the the different graphs in different orders based on dimension and color. ","Now that I am more familiar with the experiment because I participated in it, I feel that I understand more how the results of the studies were gathered and what kind of work went into creating the experiment. I also feel that I have a better understanding of how the partipants were selected. Somethings I still have questions about is how would the results of this experiment varying if the age range of partipants was increased to people 20 years outside of college. Another thing I am curios about is wether or not the color/ dimension/ view of the graphs play an important role in the partipants responses? ","The information I gained rom the components of this project differ in a couple of different ways. For example; when I was a participant in the study I was a little bit confused on what the experiment was observing, but after I read the extended abstract and watched the presentation I was keyed in a lot more about the background of this study. I also felt that the post-experiment reflection and the extended abstract differs because the abstract gives you the details and the reflections asks you to inturpert those details. ","The presentation gave a background on 3-D graphics, I like how it included the background and went over things such as the development of graphics in Microsoft excel. The presentation went over the results of the study and how those results can be interpreted and used for students experiential learning. ","I think that to make the study a little better it could have went over why your answer to the questions impacted the results of the study as well as maybe showed a trend, where if the answers were incorrect, show the most common answer. On top of that, the study could of had better ways at retaining the results rather than a software that could be considered hard to use. ","If I had to choose to hear about this study based on the extended abstract it only the presentation, I think I would prefer the extended abstract. I felt that the presentation almost made the study a little more confusing, and I like that the extended abstract is something that I was able to read on my won time at my own pace. I also feel that the abstract represents that the experiment was better designed compared tot he presentation, the abstract divides up the experiments and and explains the different sections in a more easy to understand fashion. "
"1","5030bc2fec3e6212e546ab04dee73f08","STAT-218-701.1238","I agree","TRUE","The process of scientific investigation begins with inquiry and the formation of a hypothesis. From there the hypothesis is tested via various experiment designs suited for the specific research topic. Results are then analyzed and a discussion/conclusion can be made. As a researchers, it is easier to understand the amount of work types of biases that may play a role in results. However, a member of the general public may not be aware what to look for.","hued-pressboards-exhauster-calutrons","The purpose of this experiment was to measure perception judgement in a population currently in statistics.","The hypothesis that the experimenter is testing is if UNL students currently enrolled in STAT 218 will accurately read information presented in various ways as well as to measure their ability to perceive graphics.","One source of error for this experiment is that it is not conducted in a controlled environment. Students may be working together or not reading the experiment carefully therefore the results may be skewed. ","One variable is how many graphics a student was able to successfully perceive - this variable is qualitative.

Another variable is how well students were able to read information from charts and how far off they were from the actual measurement- this variable is also qualitative.","Randomization was definitely involved since this was offered to all STAT 218 students who were able to choose their involvement. This population is also large as there are multiple sections to this course. I am not sure if there is a control group however, the control may be the correct answer to each question in the survey. Therefore, how far off from the correct answer may be measured and used to observe how well students are able to perceive statistical graphics. ","After reading the extended abstract, I have a better understanding of what actually was being tested and why. From my understanding, the purpose of this experiment was to extend/replicate results from Cleveland and McGill. The study replicates the procedure from the previous study however, they wanted to measure/observe the differences between 2D graphs, 3D digital graphs, and 3D printed graphs. There also appears to be random assignment within the experiment as the graphs and questions were presented in random order; I was initially unsure if questions were randomized or if each participant was given the same questions at the same time. I am curious to see the results of the study and how they were able to measure their collected data.","I was given little information when presented with the study; I was given directions however I wasn't told why or what was being tested. The post-study reflection allowed my to process all the information I was given up to that point and I was able to draw my own conclusions. The extended abstract gave me more information into the purpose of the study and what the questions guiding the study were however, I was not given any results or further discussion. Similar to the extended abstract, the presentation provided a more in depth analysis into the background of the study as well as the methods. The presentation was easier to understand in my opinion. The presentation also provided the results along with an analysis. ","One of the biggest differences between the presentation and the abstract was the inclusion of the results. The presentation went in depth into the results and how the data was analyzed. The purpose is to give a brief summary of the study and act as an ""introduction"" to the presentation therefore, the results were not included. Also, I feel like the presentation went in more depth into the Cleveland and McGill experiment for similar reasons. The presentation allows for a more in depth analysis into the study whereas the abstract is a brief summary.","In my personal opinion, the results were a little difficult to understand as someone who doesn't have much experience in statistics. However, I think the presentation was able to give a very basic analysis of the results that allowed me to understand more. ","I prefered the presentation as it provided more visuals for me to understand and broke down each part of the experiment in more detail. I believe the delivery of the presentation was more geared towards those who have little understanding in statistics and I was able to observe how the experiment was designed and why. I appreciated having someone explain what each graph is and the purpose of this study and the Cleveland and McGill study."
"1","55319bb1e0f71194d6cb2ad4b85943b4","STAT-218-701.1238","I agree","TRUE","From a researcher's perspective, I believe researchers are always looking for a deeper understanding. Researchers focus on the why and how, while consumers seem to focus on the what. Today with the technological advances we have made in recent years, I believe that data is collected much faster and much more data is captured with our digital footprints.","knockdown-gnarrs-centrioles-nainsook","I think this experiment was about understanding people perceptions based on size and understanding.","How do people understand and perceive questions visibly? Do factors of dimension, color, depth, shapes, or letters influence the perception of size?","One source is when the quiz is first started one could compare the whole graph to each other, or interpret it as the individual line that had the shapes. There are two ways that a participant may see how to make the comparisons.","color- categorical

dimension-categorical

size-quantitative

understanding-categorical

 ","I believe that there is a control group and random assignment. This is a double-blind study so as to not cause any bias. This experiment gets a random selection sample by volunteering participants. The researchers could use random assignment as to what participants see what pairs of graphs and in what order.","As I participated the experiment had me focused on ratios. I did not think of it in length. I did not know the implications of the experiment as well. I am grateful to understand that studies such as these go on to help others and create solutions to improve the quality of life for those with disabilities.","I did not realize the depth of thought that goes into experimental design. As a participant, I had no idea of the depth of the research for this data. Also as I moved through this process it gave me a clearer understanding of the study and its implications. This experiment also helped give me experience in understanding the experiment design process.","I believe that one emphasized components in the presentation was the ability to use the data to help understand how to teach the next generation better. In the abstract, I liked the implications of helping the visually impaired.","The only critique I would have for the study is just a bit more clarity. I was not sure at first whether to compare the single bar or compare the whole mass of the two graphs differentiated by letter.","I guess I would perceive that this study would have more relevance to the presentation as it makes me believe that this experiment is much more applicable in helping researchers learn how to teach better classes than helping the visually impaired."
"1","49473c84d62f08df740136b11f30f1fd","STAT-218-701.1238","I agree","TRUE","The difference between the researcher and the general public is that the general public would look at the results of the research. The researcher will make the observation first and then make a hypothesis. They then will test the hypothesis and make their conclusion based on the results that are given to them. The general public may make an observation, but they aren't testing anything. ","promulgator-linker-extenuators-slamming","To see how well the general population interprets data between 2-D graphs and 3-D graphs. ","The public can more accurately understand data when it is provided to them in a 2-D graph format. ","One source of error could be human error when deciding how much smaller the bar is when comparing two different data sets. ","The variables were which graph was smaller and how much smaller the bar is compared to the larger one. 

Deciding which graph is smaller is categorical.

How much smaller the bar is, would be quantitative. ","The use of a control group was present since only STATS 218 students were the ones who took the survey, so there could be more knowledge of interpreting data compared to the general population. ","The components that are clearer now are how the 3-D graph is manipulated, like how the spaces were added between the tiles. What also became clearer was why the researchers would put other bars in between the circle and triangle. The questions I still have are how the results are different when given two bars right next to each other and when they are farther apart. ","More information was provided about how the graphs differed from each other. Also, it was clearer to me when they described who participated in the study. Also, from participation not much was said about how the graphs were manipulated from the 3-D and 2-D graphs. The abstract made it clearer how each of the graphs was manipulated from the heights of each bar, how far the triangle and circle were from each other, and how the viewing angle would change. ","The components that were emphasized were the difference between the 2-D and 3-D graphs and how much smaller the bar is. While the abstract gave more emphasis on the way the graphs were manipulated. I think that it is this way, so the participant isn't paying attention to the angle of view and the distance between bars. ","For the 3-D graphs, it was hard to tell which one was a circle or triangle based on the first look. Also for the 3-D graphs on the computer, the shading and colors used made it visually difficult to tell how much smaller the bar was. What would have made the study better is keeping the graphs the same color, also having less of a shadow when comparing a smaller bar that is next to a larger bar when the observed bars are far away from each other. ","I would prefer the presentation since I see how different the data would be when comparing bars that are in a 3-D graph and a 2-D graph. The extended abstract however provided clearer details and information about the study. This would be better when determining how well the experiment was designed. I say this because we are able to look closer at how each of the graphs was manipulated. "
"1","fa6b1e1e997bad502afa2b8d13b58fa8","STAT-218-701.1238","I agree","TRUE","I think that science happens when a question is brought up. Science happens when there is a ""how"" that can be explored and maybe answered. Science happens sometimes just out of curiosity. but most of the time I think it happens to solve a problem or an issue that faces our community like a medical issue.","temperament-untoward-stridulous-asbestos","To find out if students can identify heights of bars and comparisons in 2D and 3D / also if colors make a difference in what we see.","Can size and variation be viewed equally as well in 3D as they can in 2 D?","How colors may have affected viewing; technical error because being viewed on phones; also if the size of the bar graph was small or large, and the way the graph was positioned.","2D or 3D bar graph - categorical

Color of graph- categorical

Position of graph - categorical 

Size of graph - categorical","Groups were randomly assigned. There didn't appear to be a control group and students were randomly assigned after demographics were collected. A control group wasn't necessary because everything was based on how someone perceived something.","I believed that one of the components was the dimension of the graph. However I also thought that the color was the main component and that was not true. The angle was an obvious component I felt, but then again I wondered if it looked that way because I was using my phone. ","I was a bit confused in the beginning because I didn't read the instructions well enough. I was considering the difference between the shortest bar (triangle / circle) compared to the tallest bar (not the other shape). So I had to start over. I was focused on the color of the graph more than the dimension. I did notice further along in the experiment that the angles were changing. I did feel as if the dimension was an obvious component as the experiment went on.","The presentation talked alot about the fact that there wasn't as much of a difference between the dimensional graphs when it came to the observations. At least not as much of a difference as was expected when they developed the experiment. I always think that the abstract is just that - an abstract writing about the facts. They are always hard for me to understand, so I liked the video presentation. It made it easier for me to understand the results as well and the idea behind the research from the beginning. ","I would have liked to have heard more about the different colors and how that affected how people viewed the bar graphs. I felt like that component really changed my ability to tell differences, especially with the darker colors. It may have been made better if the subjects could have only viewed the physical graphs rather than on the computer or phone. ","Again I like the presentation better mostly because it adds a more personal touch! The abstract is probably really the best was to understand the design of the experiment. However I struggle reading that kind of material. So for a participant, the video presentation was the best. "
"1","104aaf35bc8aa57f6c9eb7f6dd7ab6fd","STAT-218-701.1238","I agree","TRUE","I think the process of scientific investigation relies on the general public being unaware of some parts of the experiment. The people involved in the experiment must not be biased or have any outside persuasion during the experiment. To make sure that the experiment is successful, I think that the researcher should try to keep the general public in the dark about what they are necessarily testing so that their result can be the most accurate. Sometimes if the test subjects know that they are being watched on something specific their behaviors might changed which could ruin the experiment. The researcher's point of view will be entirely different than the test subjects. Science happens by recording and observing data provided by control and experimental groups. ","titter-unity-ficoes-paisans","I think the purpose of the experiment is to test people's perception of size when using different shapes. ","The experimenter might have been testing people's depth perception. ","Something that could have gone wrong is people rushing through the experiment, and not taking their time. ","One variable that was examined was the difference in size of the graph bars which is quantitative. Another variable that is examined is how close to the right answer the test taker is which would categorical. ","I think the randomization factor would be that the people participating are random. I think the control factor would be that everyone is. taking the test on their computer. Something that could be different is the order of the questions. This is the case because the researcher does not decide who is taking the test. He just gets their results without worrying who the person was that took the test. The only information the researcher knows is the persons favorite zoo animal, age, and level of education.","I totally overlooked the fact that some of the graphs were different in regards or 3D of 2D, how many bars were present, and if the triangle and circle bars were next to each other of if they were separate. I now understand that the researcher did this on purpose and wanted to test if the position and angle had an affect on how I perceived it. If I could ask the researcher a question I would ask how they plan to use the information regarding the test subject. For example why did they want to know my favorite zoo animal. I wonder if that had an affect on how they used my data.","When I was participating in the study I felt unaware of what I was looking at, and how the graphs being different from each other probably affected the was I perceived the graphs. After reading the article the researchers put together on how they conducted the experiment I thought about my answers a lot differently, and it made me question my answers. Knowing that they purposely made the graphs all different changes the way I would have looked at them. ","The fact that the results for the 2D graphs were more accurate than the 3D graphs because they were a lot easier to read because ehe viewing angle can be distorted. I think that this is not mentioned a lot because there were options to take it online or in person, and that can change the results of the experiment. The way you view the graphs on a computer versus in person is very different. ","i think the study would have been better if they made the graphs brighter, and more defined so that the subjects could see the graph better. If the graph was larger I think that would help with the online version of the experiment. ","I think I would rather hear the presentation because it is easy to follow and understand. The presentation is laid out very well, and it is in a good order. Sometimes reading long articles can be hard to follow and understand. "
"1","1143c4376c4bd65dce5d3cef34149cd3","STAT-218-701.1238","I agree","TRUE",NA,"courtier-locomoting-gacher-nucleated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"1","e1b948e3c6062730c0dfb8fa15f010ee","STAT-218-701.1238","I agree","TRUE","The process of scientific investigation involves observing something (for example: why does X happen?), then forming a hypothesis (""X happens because Y and Z.""). From there, we experiment difference scenarios by changing variables, and then we gather results and determine if our hypothesis is accepted or rejected. We repeat the experiment with new variables after accepting or rejecting to either further confirm our hypothesis, or determine a new one. ","cinemagoers-upmanships-dioecy-unround","To determine if 3D-printed bar charts were easier to interpret and/or affected judgement than 2D bar charts. ","3D bar charts are more effective data visualization tools than their 2-dimensional counterpart.","The persons taking the survey?","Variable 1: The smaller chart - categorical.

Variable 2: How much smaller one chart is compared to another - quantitative.","They used randomization through the test, providing the users taking the survey with random bar charts that were examined. ","I understand that the experiment is about the effectiveness/interpretation of 3D bar charts compared to 2D bar charts. I now know they were trying to see if something more tangible like a 3D chart would be easier to understand. However, I question their way of providing the test online - I understood what I was supposed to be doing - but why were there two bar charts (labeled A and B) while only one of the charts had either the circle/triangle I was to focus on? ","This presentation cleared up a lot of my questions about the study. I wasn't sure if it was about 3D printed objects or 3D graphs in general, but now I know they're seeing if the objects are useful in comparison with 3D graphs. During participation, I understood what I was doing but I was simply confused. During the reflection, I still wasn't sure. Luckily this presentation breaks it down into something I can understand.","The future of the study/work at hand was emphasized more in the presentation because it's more timely. The abstract focused on what was going on in the study rather than the future. ","The instructions for the test were a bit confusing - maybe I was just overthinking it. As I've said before, this presentation cleared up a lot of this for me.

 ","I would definitely prefer the presentation because of how the information is broken down into slides. However, an extended abstract has a lot more to be picked through to determine if the experiment is designed well. "
"1","b42d2adc1133497d137704d59ebe575b","STAT-218-701.1238","I agree","TRUE","A researcher needs to look at what groups they are going to be studying and how the scientific results are going to be beneficial to the public and how the public is going to perceive the results. Science is important to be replicable as well, so the researcher needs to make sure that the experiment can be recreated by someone in the public or even another scientist. It's important to do the 6 steps of the scientific method for a researcher to accurately create, design, collect, and analyze the data of the experiment. A consumer of scientific results is mostly looking at how the results impact the public or even them individually. The consumer mostly looks at results and what those results stand for, whereas a researcher analyzes results from science in order to see how the outcome impacts science and the public and see how the science will impact future experiments of groups. ","lays-calutron-trichology-twentieths","To measure the difference in how well participants analyze data presented in 2D graphs compared to 3D graphs. ","Ho: Participants in the study are able to have equal accuracy in determining bar heights between 2D and 3D graphs. Ho: u2Dgraphs = u3Dgraphs

Ha: Participants in the study are able to accurately determine the bar height difference in 2D graphs compared to 3D graphs. Ha: u2Dgraphs > u3Dgraphs","There could be an error created because some people might have more experience analyzing graphs than others. There can be errors created when people use the toggle bar in the participation section, some people might be more generous in their answers than others. ","Explanatory variable: is the difference between 2D and 3D graph types, this is categorical. 

Response variable: Which graph type has more accurate results/responses, this is quantitative. ","I think that there is randomization but not a control group in my opinion, because there isn't one group that is left alone or not studied. There is randomization in how people were shown the graph types and random sampling because the survey was put out to students, but they were not required to answer. The random sampling does make it so that others outside of Statistics 218 can take it as well. This helps enlarge the generalizability of the study.","It's clearer now as to why I needed to say how much smaller I thought one bar of the graph is compared to another, it's important to understand what a graph is telling you and that different graph types (2D or 3D) can display the same results but look different. Scaling is important when creating graphs, and it can be misleading to the participant or reader if there are discrepancies between graphs that may be displaying the same information. I also understand why using different graph types shows that there are differences in how the data is displayed and how that can make it difficult to determine how the participant takes the information or how they read the data. Discrepancies in graphs can lead to a lack of validity in results, which can be bad for experimenters, so a study like this is important to see how participants read the results from different graphs. Do you think that this type of experiment can be extended to classes or subjects outside of statistics? Are there specific situations when you should use a 2D graph over a 3D graph, or vice versa? Do you think it is easier to judge graphs online or do you think it is better on paper, or is there no major influence for either? ","Throughout my participation in this experiment, I gained more information on how I examine data given to me in two different graph types, 2D and 3D graphs differences. From the extended abstract I could fully understand why the experiment was designed the way it was. I know now that it was important to start with 2D graphs and then go to studying 3D graph data to see which I had more confidence in analyzing or which I was most accurate with my responses. The presentation was helpful because I was able to gain more information as to why the researchers were studying the difference in how people analyze 2D and 3D graphs. From the presentation, it was interesting to learn that people are able to have better accuracy with their 2D graph responses compared to 3D graph responses. ","I think that in the presentation the ""background on 3D graphics"" was emphasized more compared to the abstract. I think it is heavily emphasized in the presentation because it is likely easier to analyze present results with possible 3D graph limitations. In the abstract the researchers talk about limitations that can occur within the study, but more on limitations that needed to be corrected from the Cleveland and McGill study. ","I don't have many negative critiques for this study, it appeared that researchers tried to navigate around each limitation that occurred in the Cleveland and McGill experiment. The only critique I would have is in the participation portion, and how the 2D and 3D graphs are set up in order for the participant to look at. I think it would make the study even better and provide better results between analyzing the different graphs if the researchers set it up so that participants looked at a 2D graph and then immediately a 3D graph, back and forth, and so on. It would even be beneficial if they showed the same data in the two different graph types back to back that way researchers could really see how the two different graphs are analyzed and if there is a significant change in 2D to 3D analysis. ","I personally would prefer the extended abstract because it provides exactly what the experiment is trying to study, with extra information on how it connects to the Cleveland and McGill experiment, and how the limitations are being met. I think the extended abstract is better for determining whether the experiment is well-designed. While the presentation provides an overview of 3D background and scale, I believe that the extended abstract provides more in-depth and beneficial information for the participant to accurately navigate around the limitations that the study may have between 2D and 3D graphs. "
"1","b449920ee6bfd20e531206f41bb2a06b","STAT-218-701.1238","I agree","TRUE","I think that from a researchers point of view they have to make observations, form a hypothesis, and conduct the experiment on an individual. I think that to a consumer of scientific results, they wouldn't think about all the steps that went into it. They would look at the results but not at anything else. I think science happens by performing a variety of steps.","prawned-externally-bemuzzle-orient","I think the purpose of this experiment was to test if taking statistics makes a person able to differentiate and compare the two bars better than someone not taking stats 218.","How taking Statistics 218 effects how you can compare two groups.","The sources of error were probably where the line was dragged to because not everyone would put it at the same place.","The variables were which was taller and that was categorical and where you slide the bar and that was quantitative.","I think that it was randomized because anyone could take it. The controlled group was the pictures that were shown to us.","It is a lot clearer about what the goal was. I didn't know that it had to do with the 2D and 3D charts. When I was doing the experiment, I thought that it just had to do with where I moved the bar, I didn't take into consideration if the graph was 2D or 3D. I want to know what the results were.","I feel like we got more information as we moved on. That allowed everything to come together and show us why we were completing the experiment. The presentation was different from the aspect because it showed how it was specific to our experiment.","The 3D and 2D length were emphasized in the presentation. It was also in the abstract but the abstract focused on more than just the length between the circle and triangle.","I think this study was good. I like how we went into it not knowing what was being compared so it couldn't have been biased.","I would prefer hearing about it through the presentation. This made a lot more sense to me than reading the abstract and it also included the results. The abstract would be better for determining if the experiment was well designed because it goes into depth."
